                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.1128,                 5.5133,                 1.2919,                0.00271,                0.86667,                0.01856,                0.00471,                 1.5141,                 4.7367,                 1.0116,               3.75e-05,               3.75e-05,               3.75e-05
                      2,                 1.6894,                 4.9419,                 1.1927,                0.00344,                      1,                0.07513,                0.03331,                  1.458,                 4.4082,                 1.0054,             8.6634e-05,             8.6634e-05,             8.6634e-05
                      3,                 1.5099,                 4.6562,                 1.1052,                0.00344,                      1,                0.32146,                0.15051,                  1.428,                 4.4245,                0.97271,             0.00013478,             0.00013478,             0.00013478
                      4,                 1.4533,                 3.8152,                0.99526,                0.00334,                0.91667,                0.37729,                 0.1802,                 1.4634,                 4.5219,                 1.0544,             0.00018193,             0.00018193,             0.00018193
                      5,                 1.6149,                 3.8049,                 1.0249,                0.00389,                      1,                0.60067,                0.36338,                 1.3362,                 4.2539,                0.96985,             0.00022809,             0.00022809,             0.00022809
                      6,                 1.6831,                 3.3161,                 1.1218,                0.00436,                      1,                0.57365,                0.33803,                 1.1534,                 4.1546,                0.91692,             0.00027327,             0.00027327,             0.00027327
                      7,                 1.5166,                 3.1648,                 1.0927,                0.00352,                0.86667,                0.54473,                0.30138,                 1.1849,                 4.1453,                 0.9354,             0.00031745,             0.00031745,             0.00031745
                      8,                 1.4044,                  2.428,                 1.0758,                0.00365,                0.83333,                0.52369,                0.33203,                 1.2382,                 4.0563,                0.96132,             0.00036065,             0.00036065,             0.00036065
                      9,                 1.4739,                 3.0684,                 1.1466,                0.00316,                0.83333,                0.39674,                0.26611,                 1.2131,                 4.1327,                0.94514,             0.00040285,             0.00040285,             0.00040285
                     10,                 1.2158,                 2.1771,                 0.9918,                0.00327,                0.91667,                 0.1049,                0.03835,                 1.2909,                 4.1535,                0.98644,             0.00044406,             0.00044406,             0.00044406
                     11,                 1.3111,                  2.719,                  1.025,                0.00288,                0.83333,                0.10958,                 0.0756,                  1.326,                 4.1333,                0.98181,             0.00048429,             0.00048429,             0.00048429
                     12,                 1.4208,                 2.2005,                 1.0546,                0.00324,                0.91667,                0.07237,                0.05037,                 1.2727,                 4.2339,                0.99425,             0.00052352,             0.00052352,             0.00052352
                     13,                 1.1979,                 2.1772,                 1.0099,                0.00288,                0.86667,                0.07032,                0.04208,                 1.3613,                 4.2414,                 1.0309,             0.00056176,             0.00056176,             0.00056176
                     14,                 1.2369,                 2.1324,                 1.0361,                0.00249,                0.81667,                 0.1429,                0.08621,                 1.3582,                 4.1948,                  1.027,             0.00059902,             0.00059902,             0.00059902
                     15,                 1.3727,                 2.2455,                 1.0387,                0.00355,                      1,                0.09571,                0.03238,                 1.3346,                 4.2395,                 1.0162,             0.00063528,             0.00063528,             0.00063528
                     16,                 1.1822,                 1.9812,                0.98275,                0.00318,                   0.75,                0.08816,                0.02788,                 1.3421,                 4.3285,                 1.0431,             0.00067056,             0.00067056,             0.00067056
                     17,                 1.2843,                 1.9011,                 1.0759,                0.00321,                   0.75,                0.35642,                0.27576,                 1.3332,                 4.3574,                  1.063,             0.00070484,             0.00070484,             0.00070484
                     18,                 1.2573,                  1.869,                  1.038,                0.00282,                    0.7,                0.29968,                0.25421,                 1.4954,                  4.346,                 1.1405,             0.00073813,             0.00073813,             0.00073813
